[M::mm_idx_gen::42.090*1.21] collected minimizers
[M::mm_idx_gen::47.511*2.94] sorted minimizers
[M::main::47.511*2.94] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::51.587*2.79] mid_occ = 177
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 25
[M::mm_idx_stat::55.458*2.67] distinct minimizers: 215125355 (92.06% are singletons); average occurrences: 1.455; average spacing: 9.958; total length: 3117292070
[M::worker_pipeline::73.770*7.47] mapped 16527 sequences
[M::worker_pipeline::86.588*13.14] mapped 16541 sequences
[M::worker_pipeline::93.447*14.62] mapped 16524 sequences
[M::worker_pipeline::106.628*18.24] mapped 16715 sequences
[M::worker_pipeline::113.972*19.06] mapped 16504 sequences
[M::worker_pipeline::125.557*21.37] mapped 16573 sequences
[M::worker_pipeline::133.987*21.84] mapped 16538 sequences
[M::worker_pipeline::144.283*24.11] mapped 16642 sequences
[M::worker_pipeline::152.834*24.73] mapped 16690 sequences
[M::worker_pipeline::162.936*26.42] mapped 16528 sequences
[M::worker_pipeline::171.218*27.28] mapped 16498 sequences
[M::worker_pipeline::180.855*28.60] mapped 16440 sequences
[M::worker_pipeline::189.140*28.79] mapped 16447 sequences
[M::worker_pipeline::201.995*30.34] mapped 16406 sequences
[M::worker_pipeline::208.993*30.32] mapped 16528 sequences
[M::worker_pipeline::220.656*31.48] mapped 16416 sequences
[M::worker_pipeline::228.473*31.47] mapped 16415 sequences
[M::worker_pipeline::239.822*32.04] mapped 16473 sequences
[M::worker_pipeline::248.171*32.21] mapped 16479 sequences
[M::worker_pipeline::256.592*32.48] mapped 16484 sequences
[M::worker_pipeline::264.404*32.61] mapped 16521 sequences
[M::worker_pipeline::348.964*26.53] mapped 16528 sequences
[M::worker_pipeline::352.685*26.27] mapped 16344 sequences
[M::worker_pipeline::366.035*26.65] mapped 16456 sequences
[M::worker_pipeline::374.480*27.22] mapped 16486 sequences
[M::worker_pipeline::383.152*27.69] mapped 16566 sequences
[M::worker_pipeline::392.358*27.96] mapped 16560 sequences
[M::worker_pipeline::402.461*28.52] mapped 16538 sequences
[M::worker_pipeline::411.424*28.97] mapped 16349 sequences
[M::worker_pipeline::420.290*29.42] mapped 16489 sequences
[M::worker_pipeline::430.735*29.87] mapped 16452 sequences
[M::worker_pipeline::439.868*30.22] mapped 16389 sequences
[M::worker_pipeline::448.720*30.50] mapped 16577 sequences
[M::worker_pipeline::458.729*30.91] mapped 16430 sequences
[M::worker_pipeline::465.753*30.98] mapped 16386 sequences
[M::worker_pipeline::477.216*31.45] mapped 16475 sequences
[M::worker_pipeline::483.991*31.40] mapped 16450 sequences
[M::worker_pipeline::496.818*31.92] mapped 16356 sequences
[M::worker_pipeline::503.598*31.90] mapped 16468 sequences
[M::worker_pipeline::515.773*31.84] mapped 16487 sequences
[M::worker_pipeline::525.605*31.92] mapped 16500 sequences
[M::worker_pipeline::535.212*31.92] mapped 16501 sequences
[M::worker_pipeline::618.879*28.78] mapped 16478 sequences
[M::worker_pipeline::622.578*28.62] mapped 16525 sequences
[M::worker_pipeline::635.947*28.74] mapped 16487 sequences
[M::worker_pipeline::646.189*28.91] mapped 16540 sequences
[M::worker_pipeline::655.223*29.19] mapped 16392 sequences
[M::worker_pipeline::664.280*29.32] mapped 16451 sequences
[M::worker_pipeline::674.282*29.60] mapped 16456 sequences
[M::worker_pipeline::682.727*29.69] mapped 16471 sequences
[M::worker_pipeline::693.188*29.85] mapped 16393 sequences
[M::worker_pipeline::701.990*30.09] mapped 16426 sequences
[M::worker_pipeline::712.457*30.32] mapped 16348 sequences
[M::worker_pipeline::719.777*30.38] mapped 16381 sequences
[M::worker_pipeline::730.621*30.54] mapped 16420 sequences
[M::worker_pipeline::738.098*30.59] mapped 16426 sequences
[M::worker_pipeline::750.016*30.83] mapped 16510 sequences
[M::worker_pipeline::759.280*30.88] mapped 16362 sequences
[M::worker_pipeline::768.603*30.92] mapped 16374 sequences
[M::worker_pipeline::778.002*31.06] mapped 16412 sequences
[M::worker_pipeline::787.730*31.20] mapped 16555 sequences
[M::worker_pipeline::797.934*31.33] mapped 16496 sequences
[M::worker_pipeline::805.553*31.37] mapped 16421 sequences
[M::worker_pipeline::884.703*29.43] mapped 16349 sequences
[M::worker_pipeline::887.490*29.34] mapped 16535 sequences
[M::worker_pipeline::902.425*29.50] mapped 16322 sequences
[M::worker_pipeline::909.180*29.48] mapped 16411 sequences
[M::worker_pipeline::922.719*29.77] mapped 16316 sequences
[M::worker_pipeline::929.430*29.73] mapped 16503 sequences
[M::worker_pipeline::941.967*30.00] mapped 16326 sequences
[M::worker_pipeline::950.007*30.06] mapped 16249 sequences
[M::worker_pipeline::959.333*30.21] mapped 16211 sequences
[M::worker_pipeline::968.780*30.41] mapped 16259 sequences
