[M::mm_idx_gen::38.784*1.47] collected minimizers
[M::mm_idx_gen::43.402*2.87] sorted minimizers
[M::main::43.403*2.87] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::44.803*2.81] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::45.441*2.79] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::132.955*21.81] mapped 40096 sequences
[M::worker_pipeline::186.975*22.28] mapped 31467 sequences
[M::worker_pipeline::236.519*25.20] mapped 27231 sequences
[M::worker_pipeline::322.758*24.96] mapped 21736 sequences
[M::worker_pipeline::422.779*24.62] mapped 21225 sequences
[M::worker_pipeline::514.273*25.04] mapped 20509 sequences
[M::worker_pipeline::603.497*25.53] mapped 20422 sequences
[M::worker_pipeline::704.651*25.39] mapped 20240 sequences
[M::worker_pipeline::762.484*26.35] mapped 20404 sequences
[M::worker_pipeline::888.220*25.44] mapped 20488 sequences
[M::worker_pipeline::1001.067*24.76] mapped 21704 sequences
[M::worker_pipeline::1058.088*25.22] mapped 22341 sequences
[M::worker_pipeline::1153.300*25.07] mapped 23129 sequences
[M::worker_pipeline::1270.613*24.37] mapped 23610 sequences
[M::worker_pipeline::1400.415*24.68] mapped 37504 sequences
[M::worker_pipeline::1482.129*24.56] mapped 32327 sequences
[M::worker_pipeline::1577.386*24.34] mapped 28016 sequences
[M::worker_pipeline::1656.188*24.61] mapped 22517 sequences
[M::worker_pipeline::1773.866*24.29] mapped 21247 sequences
[M::worker_pipeline::1874.516*24.24] mapped 20402 sequences
[M::worker_pipeline::1997.963*24.15] mapped 20169 sequences
[M::worker_pipeline::2191.953*24.01] mapped 19991 sequences
[M::worker_pipeline::2202.150*23.97] mapped 20019 sequences
[M::worker_pipeline::2368.406*23.59] mapped 20212 sequences
[M::worker_pipeline::2548.654*22.81] mapped 21394 sequences
[M::worker_pipeline::2624.431*22.89] mapped 21955 sequences
[M::worker_pipeline::2734.456*22.82] mapped 22697 sequences
[M::worker_pipeline::2818.918*22.88] mapped 23568 sequences
[M::worker_pipeline::2931.428*23.07] mapped 33541 sequences
[M::worker_pipeline::3021.434*23.20] mapped 33885 sequences
[M::worker_pipeline::3132.090*23.02] mapped 29065 sequences
[M::worker_pipeline::3205.896*23.07] mapped 24169 sequences
[M::worker_pipeline::3326.729*22.93] mapped 21301 sequences
[M::worker_pipeline::3438.747*22.89] mapped 20871 sequences
[M::worker_pipeline::3614.463*22.53] mapped 20637 sequences
[M::worker_pipeline::3687.714*22.80] mapped 20345 sequences
[M::worker_pipeline::3815.016*22.69] mapped 20358 sequences
[M::worker_pipeline::3943.388*22.60] mapped 20709 sequences
[M::worker_pipeline::4078.738*22.47] mapped 21313 sequences
[M::worker_pipeline::4185.132*22.41] mapped 21863 sequences
[M::worker_pipeline::4309.327*22.25] mapped 22952 sequences
[M::worker_pipeline::4363.456*22.41] mapped 22953 sequences
[M::worker_pipeline::4486.722*22.47] mapped 30805 sequences
[M::worker_pipeline::4650.285*22.50] mapped 36144 sequences
[M::worker_pipeline::4659.521*22.50] mapped 30205 sequences
[M::worker_pipeline::4759.257*22.55] mapped 25132 sequences
[M::worker_pipeline::4817.956*22.71] mapped 21656 sequences
[M::worker_pipeline::4888.107*22.88] mapped 21245 sequences
[M::worker_pipeline::5045.905*22.63] mapped 20746 sequences
[M::worker_pipeline::5244.754*22.33] mapped 20368 sequences
[M::worker_pipeline::5347.835*22.38] mapped 20767 sequences
[M::worker_pipeline::5471.745*22.34] mapped 20465 sequences
[M::worker_pipeline::5598.396*22.26] mapped 21174 sequences
[M::worker_pipeline::5709.048*22.20] mapped 22046 sequences
[M::worker_pipeline::5887.355*21.86] mapped 23066 sequences
[M::worker_pipeline::5953.466*21.99] mapped 23420 sequences
[M::worker_pipeline::6042.736*22.10] mapped 28394 sequences
[M::worker_pipeline::6122.040*22.26] mapped 36936 sequences
[M::worker_pipeline::6202.793*22.31] mapped 30259 sequences
[M::worker_pipeline::6265.539*22.38] mapped 25690 sequences
[M::worker_pipeline::6374.763*22.34] mapped 21222 sequences
[M::worker_pipeline::6446.207*22.42] mapped 21117 sequences
[M::worker_pipeline::6545.121*22.47] mapped 20317 sequences
[M::worker_pipeline::6613.472*22.57] mapped 20075 sequences
[M::worker_pipeline::6737.658*22.74] mapped 19906 sequences
[M::worker_pipeline::6810.441*22.58] mapped 20379 sequences
[M::worker_pipeline::6917.991*22.60] mapped 20512 sequences
[M::worker_pipeline::7014.056*22.59] mapped 21881 sequences
[M::worker_pipeline::7074.518*22.66] mapped 21832 sequences
[M::worker_pipeline::7174.340*22.65] mapped 23126 sequences
[M::worker_pipeline::7279.115*22.62] mapped 23613 sequences
[M::worker_pipeline::7366.724*22.79] mapped 39174 sequences
[M::worker_pipeline::7432.129*22.85] mapped 31356 sequences
[M::worker_pipeline::7491.970*22.94] mapped 26973 sequences
[M::worker_pipeline::7617.389*22.87] mapped 22445 sequences
[M::worker_pipeline::7756.617*22.76] mapped 21252 sequences
[M::worker_pipeline::7845.544*22.79] mapped 20628 sequences
[M::worker_pipeline::7969.818*22.75] mapped 20386 sequences
[M::worker_pipeline::8024.347*22.84] mapped 20372 sequences
[M::worker_pipeline::8079.398*22.93] mapped 20504 sequences
[M::worker_pipeline::8144.599*23.01] mapped 20667 sequences
[M::worker_pipeline::8222.422*23.03] mapped 21600 sequences
[M::worker_pipeline::8347.679*22.96] mapped 21965 sequences
[M::worker_pipeline::8398.017*23.04] mapped 23029 sequences
[M::worker_pipeline::8522.166*22.96] mapped 23562 sequences
[M::worker_pipeline::8605.019*23.10] mapped 35865 sequences
[M::worker_pipeline::8736.308*23.16] mapped 32734 sequences
[M::worker_pipeline::8743.050*23.14] mapped 28836 sequences
[M::worker_pipeline::8822.983*23.23] mapped 23743 sequences
[M::worker_pipeline::8928.922*23.21] mapped 21397 sequences
[M::worker_pipeline::9018.126*23.26] mapped 21079 sequences
[M::worker_pipeline::9077.492*23.35] mapped 20632 sequences
[M::worker_pipeline::9154.653*23.42] mapped 20336 sequences
[M::worker_pipeline::9293.394*23.36] mapped 20603 sequences
[M::worker_pipeline::9343.090*23.48] mapped 20734 sequences
[M::worker_pipeline::9400.446*23.56] mapped 21550 sequences
[M::worker_pipeline::9492.241*23.55] mapped 22113 sequences
[M::worker_pipeline::9563.308*23.58] mapped 23371 sequences
[M::worker_pipeline::9631.381*23.60] mapped 23213 sequences
[M::worker_pipeline::9731.147*23.66] mapped 32773 sequences
[M::worker_pipeline::9847.103*23.66] mapped 35430 sequences
[M::worker_pipeline::9953.874*23.60] mapped 30028 sequences
[M::worker_pipeline::10014.548*23.65] mapped 24987 sequences
[M::worker_pipeline::10104.888*23.66] mapped 21749 sequences
[M::worker_pipeline::10188.913*23.70] mapped 21390 sequences
[M::worker_pipeline::10280.578*23.70] mapped 21118 sequences
[M::worker_pipeline::10418.795*23.62] mapped 20686 sequences
